title,rating,body,y,cleaned_reviews,classes,cleaned_reviews_1,polarity,polarity_class
Unstable for large books,1,this calls for less than 20 lbs and a max depth of 10 for the books  the above books were 13 lbs and less than 10 and you an see the significant downward slope  stacking enough books to cover the back of the bracket left me feeling uncomfortable using this  especially since when installing them with the included hardware the anchor spun around in the wall  i used different screws to secure the bracket but i cant be happy with how this holds up  i am going to make my own out of l brackets for my larger books,0,call less lb max depth book book lb less see signific downward slope stack enough book cover back bracket left feel uncomfort use especi sinc instal includ hardwar anchor spun around wall use differ screw secur bracket cant happi hold go make l bracket larger book,bad,"['max', 'depth', 'book', 'book', 'signific', 'downward', 'slope', 'stack', 'book', 'cover', 'bracket', 'left', 'feel', 'uncomfort', 'use', 'especi', 'sinc', 'instal', 'includ', 'hardwar', 'anchor', 'spin', 'wall', 'use', 'differ', 'screw', 'secur', 'bracket', 'happi', 'hold', 'bracket', 'large', 'book']",-0.05555555556,negative
Get the large set,3,go ahead and buy the large set the small set of 3 is for a few paperbacks imoi installed these into studs and after 4 hardcover books they start to wobblesolid design but the small are too thin,1,go ahead buy larg set small set paperback imoi instal stud hardcov book start wobblesolid design small thin,moderate,"['ahead', 'buy', 'larg', 'set', 'small', 'set', 'paperback', 'imoi', 'instal', 'stud', 'hardcov', 'book', 'start', 'wobblesolid', 'design', 'small', 'thin']",-0.3,negative
Measure your books before buying this,1,the bookholder platform on the large size bookshelf is too big for most standard hardback books and the cover doesnt reach the invisible lip i would have had to find oversized books to fit on the shelf for them to work — not an optioni have other sets of this floating bookshelf i love them and thought i was getting the same thing they are not this large lesson learned i found another brand in stock that did the job,0,bookhold platform larg size bookshelf big standard hardback book cover doesnt reach invis lip would find overs book fit shelf work optioni set float bookshelf love thought get thing larg lesson learn found anoth brand stock job,bad,"['bookhold', 'platform', 'larg', 'size', 'bookshelf', 'big', 'standard', 'hardback', 'book', 'cover', 'reach', 'invis', 'lip', 'find', 'over', 'book', 'fit', 'shelf', 'work', 'optioni', 'set', 'float', 'bookshelf', 'love', 'think', 'thing', 'larg', 'lesson', 'learn', 'find', 'anoth', 'brand', 'stock', 'job']",0.225,positive
WILL NOT FIT NORMAL HARDCOVER BOOKS!!,2,be forewarned these shelves do not fit a standard hardcover book even the smaller size is a tricky fit the prongs that are on the underside of the shelf that would hold the cover closed for the floating effect are very small a normal book will not reach that far to hold it closed if you have larger books then this will work fine otherwise try a different brand great idea just the dimensions are skewed for everyday books,0,forewarn shelv fit standard hardcov book even smaller size tricki fit prong undersid shelf would hold cover close float effect small normal book reach far hold close larger book work fine otherwis tri differ brand great idea dimens skew everyday book,bad,"['forewarn', 'shelv', 'fit', 'standard', 'hardcov', 'book', 'small', 'size', 'tricki', 'fit', 'prong', 'undersid', 'shelf', 'hold', 'cover', 'close', 'float', 'effect', 'small', 'normal', 'book', 'reach', 'far', 'hold', 'close', 'large', 'book', 'work', 'fine', 'otherwis', 'tri', 'differ', 'brand', 'great', 'idea', 'dimen', 'skew', 'everyday', 'book']",0.1651515152,positive
Disappointed,2,i was so excited when buying this but after hanging it and placing my sons books on it i was very disappointed it’s supposed to hold up to 20 and books with a 10” wide cover but my child’s books which have a 9” cover and weight 16 were bending down i’m scared they will eventually fall off would be good for smaller books though,0,excit buy hang place son book disappoint suppos hold book wide cover child book cover weight bend scare eventu fall would good smaller book though,bad,"['excit', 'buy', 'hang', 'place', 'son', 'book', 'disappoint', 'suppos', 'hold', 'book', 'wide', 'cover', 'child', 'book', 'cover', 'weight', 'bend', 'scare', 'eventu', 'fall', 'good', 'small', 'book']",0.2,positive
Don’t Get Large if You’re Just Using Standard Size Books,1,i ordered these thinking the large would be able to accommodate a stack of all standard hardcover books that is not the case i can technically put the books on the shelf but the bottom is too deep to be able to conceal the shelf i might have missed it but i wish the description had differentiated which size shelf could hold which size books really bummed,0,order think larg would abl accommod stack standard hardcov book case technic put book shelf bottom deep abl conceal shelf might miss wish descript differenti size shelf could hold size book realli bum,bad,"['order', 'think', 'larg', 'abl', 'accommod', 'stack', 'standard', 'hardcov', 'book', 'case', 'technic', 'book', 'shelf', 'deep', 'abl', 'conceal', 'shelf', 'miss', 'wish', 'descript', 'differenti', 'size', 'shelf', 'hold', 'size', 'book', 'realli', 'bum']",0,neutral
Hated these.,1,i did not like these because they did not stay in the wall well are used anchors and did all the right things not impressed at all and the metal does not hold up well in salty climate,0,like stay wall well use anchor right thing impress metal hold well salti climat,bad,"['like', 'stay', 'wall', 'use', 'anchor', 'right', 'thing', 'impress', 'metal', 'hold', 'salti', 'climat']",0.2857142857,positive
Too Long Shelf/Hook too Short,2,even though the unit was quite easy to install i have to give this 2 stars as you need a specific book as the bottom anchor  this doesnt fit most smaller size books that dont reach the length of bottom shelf and the hooks to keep it up are very small and if the book is big enough it has to be a hardcover and not softcover because the lip keeps slipping out and hanging down,0,even though unit quit easi instal give star need specif book bottom anchor doesnt fit smaller size book dont reach length bottom shelf hook keep small book big enough hardcov softcov lip keep slip hang,bad,"['unit', 'quit', 'easi', 'instal', 'star', 'need', 'specif', 'book', 'anchor', 'fit', 'small', 'size', 'book', 'reach', 'length', 'shelf', 'hook', 'small', 'book', 'big', 'hardcov', 'softcov', 'lip', 'slip', 'hang']",0.03,positive
Probably great for smaller books,2,ad states 1520 pounds for the large bought the set of three and hung 1215 pounds on each one  as you can see that is not true would be great for several reading books beside the bed or couch but not for larger books or cookbooks super disappointed,0,ad state pound larg bought set three hung pound one see true would great sever read book besid bed couch larger book cookbook super disappoint,bad,"['state', 'pound', 'larg', 'buy', 'set', 'hung', 'pound', 'true', 'great', 'sever', 'read', 'book', 'besid', 'bed', 'couch', 'large', 'book', 'cookbook', 'super', 'disappoint']",0.3708333333,positive
Almost really cool,3,my main issue is that the shelf it’s self is too long for any regular book even large hardcovers to actually reach the hooks underneath basically defeats the purpose they look fine once you set them up right but i recommend getting your own hardware the anchors they come with are pretty cheap,1,main issu shelf self long regular book even larg hardcov actual reach hook underneath basic defeat purpos look fine set right recommend get hardwar anchor come pretti cheap,moderate,"['main', 'issu', 'shelf', 'self', 'long', 'regular', 'book', 'larg', 'hardcov', 'actual', 'reach', 'hook', 'underneath', 'basic', 'defeat', 'purpo', 'look', 'fine', 'set', 'right', 'recommend', 'hardwar', 'anchor', 'come', 'pretti', 'cheap']",0.1523809524,positive
Floating shelf,2,i didn’t realize it’s only one read the fine print it’s gotta have a very wide book to hit the bottomback cover otherwise does what i want,0,realiz one read fine print gotta wide book hit bottomback cover otherwis want,bad,"['realiz', 'read', 'fine', 'print', 'got', 'wide', 'book', 'hit', 'bottomback', 'cover', 'otherwis', 'want']",0.1583333333,positive
not a floating bookshelf,1,if you really want it for a bookshelf well look elsewhere had to return it because it’s not meant for books it will likely tear of the first book that you have as the foundation and then after that it’s limited in terms of what you could put on,0,realli want bookshelf well look elsewher return meant book like tear first book foundat limit term could put,bad,"['realli', 'want', 'bookshelf', 'look', 'elsewher', 'return', 'mean', 'book', 'like', 'tear', 'book', 'foundat', 'limit', 'term']",0.25,positive
"Big, not good for cookbooks, doesn't' hold bottom book cover well and looks a big tacky",2,these were a lot larger than i expected and even with the wall anchor screws these dont hold the books all that well both in terms of holding the cover of the bottom book and the quantity of books placed on the stack  i had planned to use them for cookbooks i had in the kitchen however with such a weight restriction i could not put enough books on to cover the top part of the silver metal bookshelf arm and it looks tacky,0,lot larger expect even wall anchor screw dont hold book well term hold cover bottom book quantiti book place stack plan use cookbook kitchen howev weight restrict could put enough book cover top part silver metal bookshelf arm look tacki,bad,"['lot', 'large', 'expect', 'wall', 'anchor', 'screw', 'hold', 'book', 'term', 'hold', 'cover', 'book', 'quantiti', 'book', 'place', 'stack', 'plan', 'use', 'cookbook', 'kitchen', 'howev', 'weight', 'restrict', 'book', 'cover', 'silver', 'metal', 'bookshelf', 'arm', 'look', 'tacki']",0.1666666667,positive
Not the strongest.,2,pretty weak on the wall bought it for my kitchen cookbooks and im scared it may not hold more than 3 i did have to use the dry wall mounts instead of the stud so that may be the case metal feels flimsy,0,pretti weak wall bought kitchen cookbook im scare may hold use dri wall mount instead stud may case metal feel flimsi,bad,"['pretti', 'weak', 'wall', 'buy', 'kitchen', 'cookbook', 'scare', 'hold', 'use', 'dri', 'wall', 'mount', 'instead', 'stud', 'case', 'metal', 'feel', 'flimsi']",-0.375,negative
Eh,3,they need to include the drill bit size on a small sheet of paper as part of the instructions,1,need includ drill bit size small sheet paper part instruct,moderate,"['need', 'includ', 'drill', 'bit', 'size', 'small', 'sheet', 'paper', 'instruct']",-0.25,negative
